restricao,descricao,origem,g,status
landing,$\Delta S_{wlan} \geq 0$,roteiro,0.28550586553321794,ok
SM_fwd,"$SM_{fwd} \leq 0{,}25$",adicionada,0.14338825325673876,ok
SM_aft,"$SM_{aft} \geq 0{,}05$",roteiro,0.9659729485535251,ok
SM_aft_max,"$SM_{aft} \leq 0{,}10$",adicionada,0.017013525723237444,ok
nlg_fwd,"$f_{nlg,fwd} \leq 0{,}18$",roteiro,0.5496813796121855,ok
nlg_aft,"$f_{nlg,aft} \geq 0{,}03$",roteiro,0.6523580268711406,ok
tipback,$\alpha_{tip} \geq 15^\circ$,roteiro,-0.10018785416211484,VIOLADA
tailstrike,$\alpha_{tail} \geq 10^\circ$,roteiro,0.00805979875423235,ok
overturn,$\phi_{ovt} \leq 63^\circ$,roteiro,0.23019279783305713,ok
tank,$tank\_excess \geq 0$,roteiro,0.005042681749004352,ok
span,$b_w < 65$ m (teto OACI E),roteiro,0.06783832817564839,ok
wheelspan,$b_{mlg} < 14$ m (teto OACI E),roteiro,0.1942446043165469,ok
height,$h_{tail} < 20$ m (teto FAA V),roteiro,0.04324923136936021,ok
thrust,"$T_0 \geq T_{0,req}$",adicionada,0.05748241948867605,ok
CLv,"$C_{Lv} \leq 0{,}75$",adicionada,0.08890435738557623,ok
gear_te,$\xi_{mlg} \leq 1$ (trem sob a asa),adicionada,0.09873045994746854,ok
gear_spar,"$\xi_{mlg} \geq 0{,}50$ (longarina traseira)",adicionada,0.8025390801050629,ok
