restricao,descricao,expressao,origem,g_inicial,g_otimo,ativa
landing,$\Delta S_{wlan} \geq 0$,$\Delta S_{wlan}/S_w$,roteiro,0.28550586553321794,0.282468754440985,False
SM_fwd,"$SM_{fwd} \leq 0{,}25$","$1 - SM_{fwd}/0{,}25$",adicionada,0.14338825325673876,0.0027551297805371577,False
SM_aft,"$SM_{aft} \geq 0{,}05$","$SM_{aft}/0{,}05 - 1$",roteiro,0.9659729485535251,0.999999347473524,False
SM_aft_max,"$SM_{aft} \leq 0{,}10$","$1 - SM_{aft}/0{,}10$",adicionada,0.017013525723237444,3.2626323798190526e-07,True
nlg_fwd,"$f_{nlg,fwd} \leq 0{,}18$","$1 - f_{nlg,fwd}/0{,}18$",roteiro,0.5496813796121855,0.4877704774275742,False
nlg_aft,"$f_{nlg,aft} \geq 0{,}03$","$f_{nlg,aft}/0{,}03 - 1$",roteiro,0.6523580268711406,0.8322450979100202,False
tipback,$\alpha_{tip} \geq 15^\circ$,$\alpha_{tip}/15^\circ - 1$,roteiro,-0.10018785416211484,9.49739198397026e-08,True
tailstrike,$\alpha_{tail} \geq 10^\circ$,$\alpha_{tail}/10^\circ - 1$,roteiro,0.00805979875423235,-9.091616348655407e-13,True
overturn,$\phi_{ovt} \leq 63^\circ$,$1 - \phi_{ovt}/63^\circ$,roteiro,0.23019279783305713,0.3202816942426093,False
tank,$tank\_excess \geq 0$,$W_{maxfuel}/W_f - 1$,roteiro,0.005042681749004352,-4.994819706727327e-07,True
span,$b_w < 65$ m (teto OACI E),"$1 - b_w/64{,}9$",roteiro,0.06783832817564839,0.0042232284582711666,False
wheelspan,$b_{mlg} < 14$ m (teto OACI E),"$1 - b_{mlg}/13{,}9$",roteiro,0.1942446043165469,2.220446049250313e-16,True
height,$h_{tail} < 20$ m (teto FAA V),$1 - h_{tail}/20$,roteiro,0.04324923136936021,0.0835814407519283,False
thrust,"$T_0 \geq T_{0,req}$","$T_0/T_{0,req} - 1$",adicionada,0.05748241948867605,0.18058349212375457,False
CLv,"$C_{Lv} \leq 0{,}75$","$1 - C_{Lv}/0{,}75$",adicionada,0.08890435738557623,2.6601957803240595e-07,True
gear_te,$\xi_{mlg} \leq 1$ (trem sob a asa),$1 - \xi_{mlg}$,adicionada,0.09873045994746854,1.4776015666573272e-07,True
gear_spar,"$\xi_{mlg} \geq 0{,}50$ (longarina traseira)","$\xi_{mlg}/0{,}50 - 1$",adicionada,0.8025390801050629,0.9999997044796867,False
