geracao,n_eval,n_frente,f1_min,f2_min,W0_min_kgf,Wf_min_kgf,n_viaveis
1,100,1,0.9986762966597076,0.9983389112284465,286183.9793381787,109129.33382159533,0
2,200,1,0.9998804943481558,0.9998136956146362,286529.05820661946,109290.5438433477,1
3,300,2,0.9998804943481558,0.9998136956146362,286529.05820661946,109290.5438433477,2
4,400,3,0.9998804943481558,0.9998136956146362,286529.05820661946,109290.5438433477,3
5,500,1,0.9995987903253949,0.9991277715903152,286448.3321710673,109215.56486478192,1
6,600,1,0.9994360684843009,0.9987018315042374,286401.7020626275,109169.00496681662,1
7,700,1,0.9972200985023135,0.991177012137571,285766.68638271175,108346.46012219899,1
8,800,1,0.9969196796593275,0.9899549033094561,285680.5973664394,108212.87029536797,1
9,900,1,0.9969196796593275,0.9899549033094561,285680.5973664394,108212.87029536797,1
10,1000,1,0.9932933225889986,0.9825055983896509,284641.4165023706,107398.5800035752,1
11,1100,2,0.9927940314503683,0.9825055983896509,284498.3379839563,107398.5800035752,2
12,1200,2,0.9927940314503683,0.9825055983896509,284498.3379839563,107398.5800035752,2
13,1300,1,0.9910169007235001,0.9766459177560373,283989.07753097435,106758.05298738719,1
14,1400,1,0.9910169007235001,0.9766459177560373,283989.07753097435,106758.05298738719,1
15,1500,1,0.9888546400249836,0.9688868586710933,283369.4529607931,105909.90318625359,1
16,1600,1,0.9870504747680842,0.9669173776578952,282852.4454035594,105694.61742655089,1
17,1700,3,0.9870504747680842,0.9646664266730377,282852.4454035594,105448.56392840536,3
18,1800,4,0.9870504747680842,0.9646664266730377,282852.4454035594,105448.56392840536,4
19,1900,3,0.9870243756523178,0.9646664266730377,282844.9663547103,105448.56392840536,3
20,2000,4,0.9867856493896141,0.9646664266730377,282776.5561680847,105448.56392840536,4
21,2100,2,0.9845865571172626,0.9566377450205392,282146.3770204085,104570.94143934028,2
22,2200,2,0.9845865571172626,0.9566377450205392,282146.3770204085,104570.94143934028,2
23,2300,2,0.9845515461504897,0.9566377450205392,282136.3441620889,104570.94143934028,2
24,2400,1,0.9821178049347916,0.953378960924877,281438.92323789414,104214.72078778777,1
25,2500,1,0.9821178049347916,0.953378960924877,281438.92323789414,104214.72078778777,1
