geracao,n_eval,n_frente,f1_min,f2_min,W0_min_kgf,Wf_min_kgf,n_viaveis
1,100,1,0.9986762966597076,0.9983389112284465,286183.9793381787,109129.33382159533,0
2,200,1,0.9998804943481558,0.9998136956146362,286529.05820661946,109290.5438433477,1
3,300,2,0.9998804943481558,0.9998136956146362,286529.05820661946,109290.5438433477,2
4,400,1,0.9989130017547059,0.9959722545859143,286251.81033230847,108870.63243283928,1
5,500,1,0.9974730347303424,0.9940359743294707,285839.16862395266,108658.97587803508,1
6,600,2,0.9974730347303424,0.9938055227145838,285839.16862395266,108633.78500254394,2
7,700,2,0.9958034206081142,0.9907990539492505,285360.71848444635,108305.14516909044,2
8,800,2,0.9955117639359188,0.9901630755511259,285277.1403847872,108235.62579232203,2
9,900,1,0.994079070240633,0.9730518062224971,284866.58294564404,106365.17738880601,1
10,1000,2,0.9917356816842637,0.9729848383261126,284195.0537780445,106357.85706718208,2
11,1100,2,0.9917282402175913,0.9729848383261126,284192.9213267672,106357.85706718208,2
12,1200,2,0.9907669589227482,0.9729848383261126,283917.4533827079,106357.85706718208,2
13,1300,1,0.9880242340202428,0.967796444166309,283131.48907229595,105790.70898560874,1
14,1400,2,0.9880169440276675,0.9633422521701398,283129.40002793644,105303.81720989173,2
15,1500,1,0.9873372655694187,0.9595134920332777,282934.62912318716,104885.29195919874,1
16,1600,3,0.9870193485133294,0.9595134920332777,282843.5257611514,104885.29195919874,3
17,1700,1,0.9852061403813698,0.9562292189631703,282323.92684776156,104526.28508468154,1
18,1800,1,0.9826898273239785,0.9489773098504957,281602.8438637822,103733.57230798817,1
19,1900,1,0.9826898273239785,0.9489773098504957,281602.8438637822,103733.57230798817,1
20,2000,1,0.9815294105289356,0.9475873658762168,281270.3109928139,103581.63626877706,1
21,2100,1,0.9815294105289356,0.9475873658762168,281270.3109928139,103581.63626877706,1
22,2200,1,0.9815234683700528,0.947578231843705,281268.6081881307,103580.63781938086,1
23,2300,1,0.9815021117151154,0.947515942038885,281262.48815452645,103573.82886419797,1
24,2400,1,0.9815021117151154,0.947515942038885,281262.48815452645,103573.82886419797,1
25,2500,2,0.9815021117151154,0.9473420717461268,281262.48815452645,103554.82294445804,2
