caso,rotulo,eps_kgf,W0_kgf,Wf_kgf,b_w,g_min,viavel,n_objfun,tempo_s,sucesso,S_w,AR_w,sweep_w,xr_w,Cht,Cvt,x_mlg,y_mlg,z_lg
base,letra E (roteiro),99026.54838638914,276780.5871782493,99026.54839283574,64.90000000102918,-9.678179369032591e-10,True,4971,22.159974098205566,False,388.65752881969115,10.8373302658641,0.6099104689746216,18.691133671195225,0.7,0.06476102284999218,32.24602285919587,6.95,-5.669687730377182
base,letra E (roteiro),99030.14264156761,276779.3914573173,99030.14264156763,64.88611638896641,-6.661338147750939e-16,True,61,0.5696310997009277,True,388.6230077075528,10.833656310978808,0.6101151604756081,18.687985393842887,0.7,0.06476518245088601,32.24580608741573,6.95,-5.66972595574743
base,letra E (roteiro),99033.73689674606,276778.27481150633,99033.73689674595,64.87238976372466,-1.1102230246251565e-15,True,61,0.5607891082763672,True,388.58895067253496,10.830022177349715,0.6103176775718262,18.684868592679344,0.7,0.06476927248834032,32.245591616837395,6.95,-5.6697637726969585
base,letra E (roteiro),99037.33115192453,276777.23475876014,99037.33115192459,64.85881524112726,-7.771561172376096e-15,True,61,0.5555481910705566,True,388.5553432755275,10.826426626952093,0.6105180875566824,18.681782293673905,0.7,0.06477329513940988,32.245379377398095,6.9499999999999975,-5.669801196236479
base,letra E (roteiro),99040.92540710299,276776.2689255678,99040.92540710302,64.84538811899313,-2.220446049250313e-15,True,61,0.5677130222320557,True,388.52217159622535,10.82286846855385,0.6107164554329028,18.678725554525176,0.7,0.06477725248457379,32.24516930004267,6.949999999999998,-5.669838238542274
base,letra E (roteiro),99044.51966228145,276775.3750581294,99044.51966228143,64.83210393216899,-1.9984014443252818e-15,True,61,0.5727059841156006,True,388.4894224161895,10.819346570956734,0.6109128429279833,18.675697480424322,0.7,0.0647811464995046,32.244961319197415,6.9499999999999975,-5.669874911176766
base,letra E (roteiro),99048.11391745991,276774.55101407296,99048.11391745984,64.81895843613566,-1.354472090042691e-14,True,61,0.5951001644134521,True,388.4570831702987,10.815859858844577,0.6111073087206763,18.672697220770402,0.7,0.06478497906231452,32.244755372529184,6.949999999999998,-5.669911225130961
base,letra E (roteiro),99051.70817263838,276773.7947538155,99051.7081763248,64.80594757954312,-3.360289824172469e-11,True,60,0.6445097923278809,True,388.42514186567314,10.812407305845529,0.6112999088190637,18.669723963683747,0.7,0.06478875196564643,32.24455140054203,6.95,-5.669947190895593
base,letra E (roteiro),99055.30242781683,276773.1043383585,99055.30243029517,64.79306754467576,-2.261479892240459e-11,True,60,0.5865809917449951,True,388.39358720038257,10.80898794470307,0.6114906960076179,18.666776944041935,0.7,0.06479246689900182,32.24434934717055,6.95,-5.669982818356526
base,letra E (roteiro),99058.8966829953,276772.47791519546,99058.89668467318,64.78031464613562,-1.5336620862171912e-11,True,60,0.5671710968017578,True,388.36240826526625,10.805600841742573,0.6116797212361036,18.66385542330549,0.7,0.06479612549320048,32.24414915829627,6.95,-5.670018117056306
