variavel,label,unidade,inicial,otimo,lim_inf,lim_sup,variacao_pct,inicial_si,otimo_si
S_w,$S_w$,m$^2$,395.24,386.47778034173234,320.0,470.0,-2.2169364584221363,395.24,386.47778034173234
AR_w,$AR_w$,-,9.26,10.644470574284451,7.5,12.0,14.95108611538285,9.26,10.644470574284451
sweep_w,$\Lambda_w$,deg,33.0,35.38134616107342,25.0,40.0,7.216200488101254,0.5759586531581288,0.617520984298587
xr_w,"$x_{r,w}$",m,19.8,18.553808618756847,17.0,23.0,-6.293895864864418,19.8,18.553808618756847
Cht,$C_{ht}$,-,0.7,0.7000000000000001,0.7,1.1,2.220446049250313e-14,0.7,0.7000000000000001
Lc_h,"$L_{c,h}$",-,4.5,4.868589376933749,3.5,6.0,8.190875042972202,4.5,4.868589376933749
Cvt,$C_{vt}$,-,0.075,0.0652533576453312,0.05,0.12,-12.995523139558395,0.075,0.0652533576453312
Lb_v,"$L_{b,v}$",-,0.53,0.5099260081582092,0.25,0.55,-3.7875456305265676,0.53,0.5099260081582092
x_mlg,$x_{mlg}$,m,32.2,32.22633466487209,29.0,36.0,0.08178467351580565,32.2,32.22633466487209
y_mlg,$y_{mlg}$,m,5.6,6.949999999999998,4.0,6.95,24.10714285714284,5.6,6.949999999999998
z_lg,$z_{lg}$,m,-5.7,-5.6731592928945105,-7.0,-4.5,-0.4708895983419281,-5.7,-5.6731592928945105
