geracao,n_eval,n_frente,f1_min,f2_min,W0_min_kgf,Wf_min_kgf,n_viaveis
1,100,1,1.0017739974211242,1.0015081512116442,287071.66670361056,109475.76632482366,0
2,200,1,1.0017739974211242,1.0015081512116442,287071.66670361056,109475.76632482366,0
3,300,1,1.0017739974211242,1.0015081512116442,287071.66670361056,109475.76632482366,0
4,400,1,1.0109582694591845,1.0153224696242453,289703.54204496765,110985.82202696147,0
5,500,1,1.0109582694591845,1.0153224696242453,289703.54204496765,110985.82202696147,0
6,600,1,0.9988744509703796,0.9979058164646079,286240.76309217466,109081.99183930078,1
7,700,1,0.9988744509703796,0.9979058164646079,286240.76309217466,109081.99183930078,1
8,800,1,0.9988744509703796,0.9979058164646079,286240.76309217466,109081.99183930078,1
9,900,1,0.9988744509703796,0.9979058164646079,286240.76309217466,109081.99183930078,1
10,1000,2,0.9987521286005311,0.9979058164646079,286205.7099897005,109081.99183930078,2
11,1100,1,0.9964102418390873,0.9944190906415631,285534.61118141696,108700.85467034158,1
12,1200,1,0.9964102418390873,0.9944190906415631,285534.61118141696,108700.85467034158,1
13,1300,1,0.9960854948336597,0.9933899994956359,285441.5506065317,108588.36378179297,1
14,1400,1,0.9935120171783686,0.98479209402707,284704.0863464982,107648.5189200004,1
15,1500,1,0.9935120171783686,0.98479209402707,284704.0863464982,107648.5189200004,1
16,1600,2,0.993270405905793,0.9840752816777654,284634.84942191123,107570.16351055486,2
17,1700,3,0.9924137240313848,0.9840752816777654,284389.3558333831,107570.16351055486,3
18,1800,3,0.9918976490310022,0.9813952222917296,284241.4676760888,107277.20378304058,3
19,1900,1,0.9895841880154502,0.9755202804485626,283578.5146434707,106635.00855016467,1
20,2000,2,0.9895840721264415,0.9755202804485626,283578.4814339334,106635.00855016467,2
21,2100,2,0.9888234350833697,0.9745769322185343,283360.5107696187,106531.89029768856,2
22,2200,3,0.9888234350833697,0.9736927378293364,283360.5107696187,106435.23820532124,3
23,2300,1,0.9875137710114502,0.9703287319612321,282985.20910585456,106067.51566618225,1
24,2400,2,0.9875137710114502,0.9700081680666959,282985.20910585456,106032.47453549554,2
25,2500,3,0.9875137710114502,0.9700081680666959,282985.20910585456,106032.47453549554,3
26,2600,1,0.9863525372910271,0.9673276640466892,282652.44213405007,105739.46620463775,1
27,2700,1,0.9863525372910271,0.9673276640466892,282652.44213405007,105739.46620463775,1
28,2800,1,0.9860782225037726,0.9667886491950453,282573.8335822397,105680.54600126967,1
29,2900,1,0.9853388272187864,0.9666275667323484,282361.9500263077,105662.93793085715,1
30,3000,2,0.9853388272187864,0.9649510103894973,282361.9500263077,105479.67203312251,2
31,3100,2,0.9844479415187528,0.9649510103894973,282106.654876494,105479.67203312251,2
32,3200,2,0.9844479415187528,0.9649510103894973,282106.654876494,105479.67203312251,2
33,3300,2,0.9844479415187528,0.9620416752503357,282106.654876494,105161.64996463498,2
34,3400,1,0.9844115781212341,0.9616251195699004,282096.2344611513,105116.11588458037,1
35,3500,1,0.9842859633638444,0.9612294937309367,282060.23788122484,105072.8696645211,1
36,3600,3,0.9837381219628937,0.9612294937309367,281903.2466392231,105072.8696645211,3
37,3700,4,0.9833009611349355,0.9606982587863634,281777.97238792235,105014.79988986642,4
38,3800,1,0.9830974567773784,0.9601982317968053,281719.65550681367,104960.14148514076,1
39,3900,2,0.9826837849393407,0.9600384698566629,281601.11233807553,104942.67776224896,2
40,4000,4,0.9824530492791488,0.9579291807249464,281534.99196490773,104712.10945003312,4
41,4100,1,0.9815768581942617,0.957692573772738,281283.90775256354,104686.2457290245,1
42,4200,1,0.9810364070112038,0.9569974698449432,281129.0342758195,104610.26328686597,1
43,4300,1,0.9800810420089004,0.9542771804440412,280855.2617240987,104312.90597985979,1
44,4400,1,0.9800810420089004,0.9542771804440412,280855.2617240987,104312.90597985979,1
45,4500,3,0.9800810420089004,0.9530143976771932,280855.2617240987,104174.87004781548,3
46,4600,2,0.9797170696987344,0.9524638375674912,280750.96061628166,104114.68782179507,2
47,4700,1,0.9796382429835975,0.9517646551237106,280728.3717723374,104038.25955334699,1
48,4800,1,0.9794302556187012,0.951519765988054,280668.77022583317,104011.4904993376,1
49,4900,2,0.9792102694078665,0.951519765988054,280605.7302503909,104011.4904993376,2
50,5000,2,0.979043875907591,0.951519765988054,280558.04797916434,104011.4904993376,2
51,5100,3,0.9787864425403349,0.9511864536422646,280484.27702284727,103975.05582385676,3
52,5200,1,0.9785504508637278,0.9503662660670437,280416.650468249,103885.40037450392,1
53,5300,1,0.9785442233794811,0.9503594139752859,280414.86589978676,103884.65136612569,1
54,5400,1,0.9783168875227239,0.9499866382609516,280349.71978552465,103843.90291395919,1
55,5500,1,0.978281616210508,0.9499295230641732,280339.6123217547,103837.65959988476,1
56,5600,1,0.978281616210508,0.9499295230641732,280339.6123217547,103837.65959988476,1
57,5700,2,0.9782788075230164,0.9499295230641732,280338.8074549868,103837.65959988476,2
58,5800,1,0.9779484339066387,0.9495223483127728,280244.1344998765,103793.1509577097,1
59,5900,1,0.977827186635638,0.9492583560968487,280209.38948128046,103764.29372863262,1
60,6000,2,0.9777699423438942,0.9492583560968487,280192.98536789516,103764.29372863262,2
61,6100,1,0.9777543225962577,0.9491108928044598,280188.50932140264,103748.17438210556,1
62,6200,2,0.9776667364166819,0.9486940922535881,280163.4103363863,103702.61353504097,2
63,6300,2,0.9776110014145453,0.9486906257641425,280147.4387300177,103702.23460992883,2
64,6400,1,0.9773648905228665,0.9478073296320663,280076.9123797131,103605.68070686392,1
65,6500,2,0.9773648905228665,0.9477991161763988,280076.9123797131,103604.78288655933,2
66,6600,2,0.9773648905228665,0.9477991161763988,280076.9123797131,103604.78288655933,2
67,6700,1,0.9770557028215594,0.9471305477111275,279988.31053042674,103531.70105992853,1
68,6800,2,0.9770557028215594,0.9471104556428428,279988.31053042674,103529.50477768174,2
69,6900,1,0.9769730026120876,0.9470030288016146,279964.6116851474,103517.761852022,1
70,7000,1,0.9769730026120876,0.9470030288016146,279964.6116851474,103517.761852022,1
71,7100,1,0.9769730026120876,0.9470030288016146,279964.6116851474,103517.761852022,1
72,7200,3,0.9769269591081503,0.9470030288016146,279951.4173065249,103517.761852022,3
73,7300,4,0.9769269591081503,0.9470030288016146,279951.4173065249,103517.761852022,4
74,7400,3,0.9766218054913416,0.9469302945226516,279863.9714778216,103509.81120187709,3
75,7500,1,0.9764555998906446,0.9462330435257693,279816.3430517191,103433.59406164504,1
76,7600,1,0.9764555998906446,0.9462330435257693,279816.3430517191,103433.59406164504,1
77,7700,2,0.9764555998906446,0.9455965023970342,279816.3430517191,103364.0131722821,2
78,7800,2,0.9764555998906446,0.9455965023970342,279816.3430517191,103364.0131722821,2
79,7900,2,0.9764555998906446,0.9455965023970342,279816.3430517191,103364.0131722821,2
80,8000,2,0.9764555998906446,0.9455965023970342,279816.3430517191,103364.0131722821,2
81,8100,2,0.9763969828677136,0.9455965023970342,279799.5455639491,103364.0131722821,2
82,8200,2,0.9763969828677136,0.9450777624973672,279799.5455639491,103307.30924234343,2
83,8300,3,0.9761480952949836,0.9450777624973672,279728.2235187479,103307.30924234343,3
84,8400,3,0.9761300070754168,0.9450777624973672,279723.0400987828,103307.30924234343,3
85,8500,4,0.9760893174119042,0.9450777624973672,279711.37993436225,103307.30924234343,4
86,8600,2,0.9760314687314773,0.9440382706871605,279694.8026253589,103193.6814477288,2
87,8700,2,0.9760314687314773,0.9440382706871605,279694.8026253589,103193.6814477288,2
88,8800,2,0.9759065276598846,0.9440382706871605,279658.9990990604,103193.6814477288,2
89,8900,2,0.9759065276598846,0.9440382706871605,279658.9990990604,103193.6814477288,2
90,9000,3,0.9758415233515066,0.9440276833878453,279640.3712496682,103192.52414041739,3
91,9100,3,0.9758415233515066,0.9440276833878453,279640.3712496682,103192.52414041739,3
92,9200,3,0.975754072751274,0.9440276833878453,279615.3111167164,103192.52414041739,3
93,9300,3,0.9756174906339738,0.9439911696954714,279576.1716938963,103188.53279551504,3
94,9400,4,0.9756174906339738,0.9438563964147274,279576.1716938963,103173.80060569542,4
95,9500,3,0.9755682938525323,0.9427178225553904,279562.07370165334,103049.34206223021,3
96,9600,2,0.9754129069535026,0.9426696736708042,279517.5455184471,103044.07886389141,2
97,9700,3,0.9753420395456082,0.9426696736708042,279497.23751988495,103044.07886389141,3
98,9800,1,0.9747583194720413,0.9421919393364329,279329.9647669102,102991.85728956701,1
99,9900,2,0.9747583194720413,0.9421638943558733,279329.9647669102,102988.79166725071,2
100,10000,4,0.9747583194720413,0.9414287561100916,279329.9647669102,102908.43303740403,4
101,10100,1,0.9743893380742841,0.9408344873187423,279224.2282384023,102843.47297566396,1
102,10200,1,0.9743893380742841,0.9408344873187423,279224.2282384023,102843.47297566396,1
103,10300,1,0.9743893380742841,0.9408344873187423,279224.2282384023,102843.47297566396,1
104,10400,1,0.9743893380742841,0.9408344873187423,279224.2282384023,102843.47297566396,1
105,10500,1,0.9743893380742841,0.9408344873187423,279224.2282384023,102843.47297566396,1
106,10600,2,0.9743603813252304,0.9408344873187423,279215.9302967163,102843.47297566396,2
107,10700,1,0.9742023289702039,0.9405669941639379,279170.6382916326,102814.23305577571,1
108,10800,1,0.9742023289702039,0.9405669941639379,279170.6382916326,102814.23305577571,1
109,10900,1,0.9741745748619053,0.9405446363770086,279162.68498265505,102811.78910576447,1
110,11000,2,0.9741745748619053,0.9402612510038957,279162.68498265505,102780.81199304777,2
111,11100,2,0.9740467980443274,0.9402612510038957,279126.06883561733,102780.81199304777,2
112,11200,1,0.973965460476297,0.9401720171097676,279102.7604733717,102771.05775497192,1
113,11300,1,0.9738941501661111,0.9399100647034533,279082.32555526553,102742.42349933735,1
114,11400,1,0.9738941501661111,0.9399100647034533,279082.32555526553,102742.42349933735,1
115,11500,1,0.9738641077146066,0.9398810597080318,279073.7164910979,102739.25293692389,1
116,11600,2,0.9738641077146066,0.9398335347036224,279073.7164910979,102734.05793549427,2
117,11700,3,0.9738310451347822,0.9398335347036224,279064.24196898,102734.05793549427,3
118,11800,4,0.9738310451347822,0.9395713296571262,279064.24196898,102705.39606353179,4
119,11900,4,0.9738310451347822,0.9395376528172034,279064.24196898,102701.71481754944,4
120,12000,8,0.9737434831014481,0.9395297103869459,279039.14990339044,102700.84662327876,8
121,12100,9,0.9737434831014481,0.9395290344680693,279039.14990339044,102700.77273797199,9
122,12200,2,0.9737303617617747,0.9393041122350476,279035.3898089389,102676.18628423843,2
123,12300,4,0.9737303617617747,0.9393041122350476,279035.3898089389,102676.18628423843,4
124,12400,3,0.9736983340008714,0.9393041122350476,279026.2118279502,102676.18628423843,3
125,12500,2,0.9734743777252753,0.9387861553489057,278962.03417763225,102619.56794621992,2
126,12600,3,0.9734571387322996,0.9387859128097628,278957.09411484504,102619.54143404574,3
127,12700,5,0.9734571387322996,0.9387859128097628,278957.09411484504,102619.54143404574,5
128,12800,5,0.9734571387322996,0.9387477722147342,278957.09411484504,102615.37225093546,5
129,12900,7,0.9734571387322996,0.9387323729409,278957.09411484504,102613.68894231555,7
130,13000,1,0.9733724833668431,0.9385279727652974,278932.8349936066,102591.34577333192,1
131,13100,1,0.9733724833668431,0.9385279727652974,278932.8349936066,102591.34577333192,1
132,13200,1,0.9733724833668431,0.9385279727652974,278932.8349936066,102591.34577333192,1
133,13300,1,0.973365805430998,0.938517596462762,278930.921342246,102590.21153027027,1
134,13400,3,0.9733430639936592,0.9384199989547898,278924.4044808213,102579.54305796305,3
135,13500,2,0.9733430639936592,0.9381343314867354,278924.4044808213,102548.31648737402,2
136,13600,2,0.9733430639936592,0.9381343314867354,278924.4044808213,102548.31648737402,2
137,13700,2,0.973339445793057,0.9381189164385352,278923.3676373016,102546.6314544438,2
138,13800,2,0.973339445793057,0.9381066962103947,278923.3676373016,102545.29565019824,2
139,13900,2,0.9733306809659171,0.9381066962103947,278920.8559594762,102545.29565019824,2
