geracao,n_eval,n_frente,f1_min,f2_min,W0_min_kgf,Wf_min_kgf,n_viaveis
1,100,1,1.0017739974211242,1.0015081512116442,287071.66670361056,109475.76632482366,0
2,200,1,1.0017739974211242,1.0015081512116442,287071.66670361056,109475.76632482366,0
3,300,1,1.0017739974211242,1.0015081512116442,287071.66670361056,109475.76632482366,0
4,400,1,1.0027195717089772,1.0066772792910785,287342.6335958486,110040.80841364004,0
5,500,1,0.9993843204212904,1.0002596637724144,286386.87296670827,109339.29302803497,0
6,600,1,0.9993843204212904,1.0002596637724144,286386.87296670827,109339.29302803497,0
7,700,1,1.0045448637463508,1.0115391589392146,287865.69531310076,110572.26489715923,1
8,800,1,1.0006456659349683,0.9986337438538785,286748.32830477133,109161.56224386796,1
9,900,1,0.9978530119145395,0.9924128479254861,285948.0561413544,108481.55045548281,1
10,1000,1,0.9978530119145395,0.9924128479254861,285948.0561413544,108481.55045548281,1
11,1100,1,0.997154154470891,0.9913005740538864,285747.78924317885,108359.96678758241,1
12,1200,1,0.997154154470891,0.9913005740538864,285747.78924317885,108359.96678758241,1
13,1300,1,0.9952339097512339,0.9889904890094978,285197.5175715545,108107.44929163992,1
14,1400,1,0.9951519310844181,0.9881678644684619,285174.0254939227,108017.52745533879,1
15,1500,1,0.9942101517659663,0.9853774961565115,284904.1461006554,107712.50975886801,1
16,1600,2,0.9942101517659663,0.9839466068184046,284904.1461006554,107556.09794471976,2
17,1700,2,0.992813092044398,0.9823770117811678,284503.8000507604,107384.52408452376,2
18,1800,2,0.992813092044398,0.9823048953109623,284503.8000507604,107376.64096761569,2
19,1900,1,0.9919767571175709,0.9806159297364183,284264.1371507602,107192.01860548538,1
20,2000,2,0.9910464316684112,0.9773190637700054,283997.5400161225,106831.63519002678,2
21,2100,2,0.9910464316684112,0.9773181964409284,283997.5400161225,106831.54038149702,2
22,2200,1,0.9882082612058242,0.9670554903889003,283184.22451064794,105709.71465471394,1
23,2300,1,0.9882082612058242,0.9670554903889003,283184.22451064794,105709.71465471394,1
24,2400,1,0.9882082612058242,0.9670554903889003,283184.22451064794,105709.71465471394,1
25,2500,1,0.9882082612058242,0.9670554903889003,283184.22451064794,105709.71465471394,1
26,2600,1,0.9882082612058242,0.9670554903889003,283184.22451064794,105709.71465471394,1
27,2700,1,0.9882082612058242,0.9670554903889003,283184.22451064794,105709.71465471394,1
28,2800,1,0.9880255257065725,0.9668358703690105,283131.85922219855,105685.70779071726,1
29,2900,2,0.9873151977067769,0.9655661933476539,282928.30528355314,105546.91824144612,2
30,3000,1,0.9870015899331817,0.9654805088169788,282838.4368037474,105537.55198751549,1
31,3100,1,0.9862041767029583,0.963035964778545,282609.92743372876,105270.33665671808,1
32,3200,1,0.9861921522285225,0.9630249115508794,282606.4816606039,105269.12841835518,1
33,3300,1,0.985490081285491,0.9628583890872384,282405.29389142734,105250.92569649483,1
34,3400,2,0.985490081285491,0.9623396347786909,282405.29389142734,105194.22019150833,2
35,3500,2,0.985490081285491,0.9618255465066897,282405.29389142734,105138.02473521788,2
36,3600,2,0.9851352668123757,0.9616239627592489,282303.6170836544,105115.98943255658,2
37,3700,2,0.9851352668123757,0.9616239627592489,282303.6170836544,105115.98943255658,2
38,3800,2,0.9847408506209802,0.9609866892503103,282190.5918766413,105046.3284860479,2
39,3900,2,0.9847408506209802,0.9609866892503103,282190.5918766413,105046.3284860479,2
40,4000,2,0.9847408506209802,0.9609866892503103,282190.5918766413,105046.3284860479,2
41,4100,1,0.9833840813221844,0.9591563372063593,281801.79158342123,104846.25104043417,1
42,4200,1,0.9833809385355593,0.959155959750927,281800.89097610174,104846.20978043778,1
43,4300,3,0.9833809385355593,0.9587908712840993,281800.89097610174,104806.3016282835,3
44,4400,3,0.9833809385355593,0.9585727563626183,281800.89097610174,104782.45928796193,3
45,4500,3,0.9832315761343862,0.9585727563626183,281758.0891929071,104782.45928796193,3
46,4600,3,0.9829032498333672,0.9582156854777125,281664.0029232507,104743.42754497507,3
47,4700,3,0.9829032498333672,0.9575767771994476,281664.0029232507,104673.5879003454,3
48,4800,1,0.9824563221017285,0.9568188401841367,281535.92983576003,104590.73711627867,1
49,4900,2,0.9820326176070738,0.9553234693231824,281414.51167579234,104427.27676825781,2
50,5000,2,0.9820326176070738,0.9553234693231824,281414.51167579234,104427.27676825781,2
51,5100,2,0.9820209966312174,0.9553234693231824,281411.1815305536,104427.27676825781,2
52,5200,2,0.9818098881890094,0.9553234693231824,281350.6855978224,104427.27676825781,2
53,5300,2,0.9817260830499462,0.9551608393174219,281326.6701202685,104409.4995345064,2
54,5400,1,0.9814340966969551,0.9538564665521218,281242.99754619127,104266.91736192827,1
55,5500,1,0.9809536876900726,0.9529023164119056,281105.3299538398,104162.61834283119,1
56,5600,1,0.9808922229126661,0.9528776095855217,281087.71640413796,104159.91761718201,1
57,5700,3,0.9808922229126661,0.9523663520338365,281087.71640413796,104104.03158950228,3
58,5800,1,0.9795155013937159,0.9489111603741321,280693.19853678544,103726.34144860064,1
59,5900,1,0.9795155013937159,0.9489111603741321,280693.19853678544,103726.34144860064,1
60,6000,2,0.9795155013937159,0.9489111603741321,280693.19853678544,103726.34144860064,2
61,6100,2,0.9795155013937159,0.9489111603741321,280693.19853678544,103726.34144860064,2
62,6200,1,0.9793006823105697,0.9485830837752126,280631.6392705265,103690.47909736914,1
63,6300,1,0.9793006823105697,0.9485830837752126,280631.6392705265,103690.47909736914,1
64,6400,1,0.9793006823105697,0.9485830837752126,280631.6392705265,103690.47909736914,1
65,6500,1,0.9793006823105697,0.9485830837752126,280631.6392705265,103690.47909736914,1
66,6600,1,0.9791499797425618,0.9483476158141828,280588.4534446956,103664.73988052153,1
67,6700,1,0.9785748751954915,0.9474454196960341,280423.6495854606,103566.1200028,1
68,6800,1,0.9785748751954915,0.9474454196960341,280423.6495854606,103566.1200028,1
69,6900,2,0.9785748751954915,0.9470831571171281,280423.6495854606,103526.52075102301,2
70,7000,2,0.9785748751954915,0.9470831571171281,280423.6495854606,103526.52075102301,2
71,7100,1,0.9784905655093581,0.9457155708102117,280399.4895232311,103377.02864875318,1
72,7200,2,0.9783289956178942,0.9456452342207214,280353.1895212835,103369.3400922239,2
73,7300,4,0.9783289956178942,0.9443918387103366,280353.1895212835,103232.33028971609,4
74,7400,2,0.9782946972833718,0.9443918387103366,280343.3608772162,103232.33028971609,2
75,7500,1,0.9768781118394723,0.939363993670808,279937.41947181424,102682.73197841035,1
76,7600,1,0.9768781118394723,0.939363993670808,279937.41947181424,102682.73197841035,1
77,7700,1,0.976800767501923,0.9392372500512111,279915.2554228895,102668.87751814921,1
78,7800,1,0.976800767501923,0.9392372500512111,279915.2554228895,102668.87751814921,1
79,7900,2,0.9767547314556609,0.9392372500512111,279902.06318136305,102668.87751814921,2
80,8000,2,0.9767547314556609,0.9392372500512111,279902.06318136305,102668.87751814921,2
81,8100,2,0.9767547314556609,0.9392372500512111,279902.06318136305,102668.87751814921,2
82,8200,2,0.9760992512663283,0.9382944456317311,279714.22661250894,102565.81871009845,2
83,8300,2,0.9760977812425717,0.9382543265853653,279713.80535764404,102561.4332606742,2
84,8400,2,0.9760977812425717,0.9382543265853653,279713.80535764404,102561.4332606742,2
85,8500,1,0.9757724746641436,0.9377132294276912,279620.5844296709,102502.28543854125,1
86,8600,1,0.9757724746641436,0.9377132294276912,279620.5844296709,102502.28543854125,1
87,8700,2,0.975249470817784,0.9375814603257935,279470.71071937954,102487.88163824193,2
88,8800,2,0.975249470817784,0.937285845886817,279470.71071937954,102455.56775522014,2
89,8900,3,0.975249470817784,0.9370054047002533,279470.71071937954,102424.91247421123,3
90,9000,3,0.975249470817784,0.9369955251725856,279470.71071937954,102423.83253406192,3
91,9100,4,0.9750102650246508,0.9369955251725856,279402.1631169296,102423.83253406192,4
92,9200,4,0.9750102650246508,0.9369955251725856,279402.1631169296,102423.83253406192,4
93,9300,2,0.9749484334960207,0.9364264786024282,279384.44446978526,102361.62953624595,2
94,9400,3,0.9745370291849549,0.9364264786024282,279266.55109106837,102361.62953624595,3
95,9500,3,0.9745370291849549,0.9364264786024282,279266.55109106837,102361.62953624595,3
96,9600,5,0.9745370291849549,0.9363846256995022,279266.55109106837,102357.05455738513,5
97,9700,4,0.9745139534331524,0.9363843512405936,279259.93842738634,102357.02455603237,4
98,9800,3,0.9745139534331524,0.9352166313281997,279259.93842738634,102229.38003101533,3
99,9900,1,0.9739777792764027,0.9348426581606831,279106.29058943305,102188.50068415306,1
100,10000,2,0.9736872906583979,0.9348426581606831,279023.04721124226,102188.50068415306,2
101,10100,2,0.9736872906583979,0.9348426581606831,279023.04721124226,102188.50068415306,2
102,10200,2,0.9736872906583979,0.9348241872241433,279023.04721124226,102186.48160929081,2
103,10300,5,0.9736872906583979,0.9348236558204845,279023.04721124226,102186.42352107387,5
104,10400,6,0.9736872906583979,0.9345916527964969,279023.04721124226,102161.06305964377,6
105,10500,4,0.9736872906583979,0.9342250509217638,279023.04721124226,102120.98947549573,4
106,10600,4,0.9736872906583979,0.9342250509217638,279023.04721124226,102120.98947549573,4
107,10700,3,0.9735378592993607,0.9342250509217638,278980.22566725424,102120.98947549573,3
108,10800,3,0.9735378592993607,0.9342250509217638,278980.22566725424,102120.98947549573,3
109,10900,1,0.9734655384368512,0.9332255979341185,278959.5011619352,102011.73836096837,1
110,11000,2,0.9734655384368512,0.9332211217971883,278959.5011619352,102011.24907037197,2
111,11100,2,0.9734655384368512,0.9332211217971883,278959.5011619352,102011.24907037197,2
112,11200,1,0.973405148003347,0.9330338362743258,278942.1954797717,101990.77671963563,1
113,11300,1,0.973405148003347,0.9330338362743258,278942.1954797717,101990.77671963563,1
114,11400,2,0.9731885330467986,0.9328389934042564,278880.12158209685,101969.47826840688,2
115,11500,1,0.9731199594029939,0.9324618757281827,278860.4708921512,101928.25519245602,1
116,11600,1,0.9731199594029939,0.9324618757281827,278860.4708921512,101928.25519245602,1
117,11700,3,0.9731199594029939,0.931978020034797,278860.4708921512,101875.36448681379,3
118,11800,3,0.9731199594029939,0.931978020034797,278860.4708921512,101875.36448681379,3
119,11900,1,0.9728317500890995,0.931413943648449,278777.88067887735,101813.70478430764,1
120,12000,1,0.9728270589548162,0.9314062775837781,278776.53637193696,101812.86679981045,1
121,12100,2,0.9728216127251095,0.9314062775837781,278774.9756823571,101812.86679981045,2
122,12200,2,0.9727030066107215,0.9313914733766182,278740.9875223267,101811.24853846958,2
123,12300,3,0.9725923934085414,0.9312975713724974,278709.28983762837,101800.98402504736,3
124,12400,1,0.9724511854287322,0.9300005844437239,278668.8248123632,101659.20920497329,1
125,12500,1,0.9724511854287322,0.9300005844437239,278668.8248123632,101659.20920497329,1
126,12600,2,0.9723858902175236,0.9300005844437239,278650.11360089463,101659.20920497329,2
127,12700,2,0.9723858902175236,0.9300005844437239,278650.11360089463,101659.20920497329,2
128,12800,1,0.9720767382414974,0.9290356787927007,278561.52198916284,101553.73449121372,1
129,12900,2,0.9718031145610669,0.9290356787927007,278483.11148320744,101553.73449121372,2
130,13000,2,0.9718031145610669,0.9285539599695855,278483.11148320744,101501.07736880306,2
131,13100,2,0.9718031145610669,0.9285539599695855,278483.11148320744,101501.07736880306,2
132,13200,2,0.9717980843382145,0.9285539599695855,278481.6700059262,101501.07736880306,2
133,13300,3,0.9717835823241819,0.9284122764343046,278477.5142608684,101485.58981277896,3
134,13400,3,0.9716022870452498,0.9284122764343046,278425.56168671243,101485.58981277896,3
135,13500,2,0.9716021036942244,0.928398221608721,278425.5091450368,101484.05346701936,2
136,13600,3,0.9715305035927755,0.9283981385631713,278404.99118338875,101484.04438923483,3
137,13700,5,0.9713441018574586,0.9283981385631713,278351.5752862187,101484.04438923483,5
138,13800,3,0.9713441018574586,0.928054722258375,278351.5752862187,101446.50524081099,3
139,13900,6,0.9713441018574586,0.92768646977343,278351.5752862187,101406.25122696038,6
