# EulerBlock derivatives output
# Author: Ney Rafael Secco (ney@ita.br)
# Instituto Tecnologico de Aeronautica - ITA
# Sao Jose dos Campos - Brazil

# Grid size (ii, jj)
      61      49

# Derivatives with respect to the following function (f)
cl_jlow 

# df/dMach_inf
-5.47560296E+00

# df/dalpha_inf [rad]
 1.14429505E+01

# Nodal derivatives
# i, j, X, Y, df/dX, df/dY
       1 ,        1 ,  1.00000000E+00 ,  0.00000000E+00 ,  3.84113749E+00 , -5.01075768E+01
       2 ,        1 ,  9.97260948E-01 , -1.42228888E-04 , -1.56971195E+00 ,  2.48322714E+01
       3 ,        1 ,  9.89073800E-01 , -6.28575392E-04 , -1.00138037E+00 ,  1.45607731E+01
       4 ,        1 ,  9.75528258E-01 , -1.62245944E-03 , -5.40691143E-01 ,  6.23841140E+00
       5 ,        1 ,  9.56772729E-01 , -3.34788461E-03 , -4.28005430E-01 ,  4.03931615E+00
       6 ,        1 ,  9.33012702E-01 , -6.02837695E-03 , -3.02962852E-01 ,  2.37919956E+00
       7 ,        1 ,  9.04508497E-01 , -9.82184559E-03 , -2.48983998E-01 ,  1.70388675E+00
       8 ,        1 ,  8.71572413E-01 , -1.47661869E-02 , -2.07417353E-01 ,  1.28889692E+00
       9 ,        1 ,  8.34565303E-01 , -2.07481774E-02 , -1.74563213E-01 ,  1.03380986E+00
      10 ,        1 ,  7.93892626E-01 , -2.75031281E-02 , -1.40099979E-01 ,  8.32595111E-01
      11 ,        1 ,  7.50000000E-01 , -3.46460182E-02 , -9.30556327E-02 ,  5.72577498E-01
      12 ,        1 ,  7.03368322E-01 , -4.17278761E-02 , -8.97263859E-02 ,  6.16273670E-01
      13 ,        1 ,  6.54508497E-01 , -4.83055642E-02 , -4.23996186E-01 ,  3.12191189E+00
      14 ,        1 ,  6.03955845E-01 , -5.40101013E-02 , -9.96145583E-02 ,  8.70547503E-01
      15 ,        1 ,  5.52264232E-01 , -5.85989012E-02 ,  7.15093386E-02 , -9.31666026E-01
      16 ,        1 ,  5.00000000E-01 , -6.19807763E-02 ,  3.69356687E-02 , -6.64642155E-01
      17 ,        1 ,  4.47735768E-01 , -6.42085205E-02 ,  1.34272265E-02 , -3.55384624E-01
      18 ,        1 ,  3.96044155E-01 , -6.54410241E-02 ,  1.98336003E-03 , -5.80788577E-02
      19 ,        1 ,  3.45491503E-01 , -6.58836437E-02 , -1.28491946E-03 ,  3.89427289E-01
      20 ,        1 ,  2.96631678E-01 , -6.57204389E-02 ,  3.18938385E-03 ,  5.32950636E-01
      21 ,        1 ,  2.50000000E-01 , -6.50538206E-02 ,  1.24483286E-02 ,  7.36814253E-01
      22 ,        1 ,  2.06107374E-01 , -6.38656676E-02 ,  7.28283151E-02 ,  2.24370674E+00
      23 ,        1 ,  1.65434697E-01 , -6.20093745E-02 ,  2.09337523E-01 ,  3.77141610E+00
      24 ,        1 ,  1.28427587E-01 , -5.92355466E-02 ,  2.57867439E-01 ,  2.78361946E+00
      25 ,        1 ,  9.54915028E-02 , -5.52466387E-02 , -1.35413004E-01 , -8.55519072E-01
      26 ,        1 ,  6.69872981E-02 , -4.97693282E-02 , -3.97248012E-01 , -1.55005338E+00
      27 ,        1 ,  4.32272712E-02 , -4.26292631E-02 , -3.70206714E-02 , -1.04975940E-01
      28 ,        1 ,  2.44717419E-02 , -3.38119389E-02 ,  2.30995349E-01 ,  4.23231208E-01
      29 ,        1 ,  1.09261996E-02 , -2.34960672E-02 , -1.11164437E+00 , -1.35566657E+00
      30 ,        1 ,  2.73905232E-03 , -1.20513597E-02 ,  7.84025003E-01 ,  6.61265272E-01
      31 ,        1 ,  0.00000000E+00 ,  0.00000000E+00 , -4.31562192E+00 ,  4.68997024E-01
      32 ,        1 ,  2.73905232E-03 ,  6.49871781E-03 ,  7.04593177E+00 , -8.45159982E+00
      33 ,        1 ,  1.09261996E-02 ,  1.27297643E-02 , -2.39422799E-01 , -9.47823825E-02
      34 ,        1 ,  2.44717419E-02 ,  1.84727767E-02 , -2.56806380E+00 ,  7.90379474E+00
      35 ,        1 ,  4.32272712E-02 ,  2.35916102E-02 , -1.22580851E+00 ,  6.41889951E+00
      36 ,        1 ,  6.69872981E-02 ,  2.80527137E-02 ,  9.87546858E-03 ,  2.93997704E-01
      37 ,        1 ,  9.54915028E-02 ,  3.19208718E-02 ,  1.69920676E-01 , -1.36675155E+00
      38 ,        1 ,  1.28427587E-01 ,  3.53331538E-02 ,  1.28606513E-01 , -1.34907200E+00
      39 ,        1 ,  1.65434697E-01 ,  3.84566830E-02 ,  2.80602590E-02 , -3.58154475E-01
      40 ,        1 ,  2.06107374E-01 ,  4.14394143E-02 , -2.23313323E-02 ,  3.18054387E-01
      41 ,        1 ,  2.50000000E-01 ,  4.43647189E-02 , -3.41289054E-02 ,  5.26033207E-01
      42 ,        1 ,  2.96631678E-01 ,  4.72198578E-02 , -2.06148008E-02 ,  3.40571233E-01
      43 ,        1 ,  3.45491503E-01 ,  4.98855485E-02 ,  2.97369166E-02 , -6.00153863E-01
      44 ,        1 ,  3.96044155E-01 ,  5.21494001E-02 ,  1.05368602E-02 , -3.87358234E-01
      45 ,        1 ,  4.47735768E-01 ,  5.37409537E-02 , -1.07786673E-04 , -3.86500144E-01
      46 ,        1 ,  5.00000000E-01 ,  5.43815093E-02 , -1.02551292E-02 , -3.29361470E-01
      47 ,        1 ,  5.52264232E-01 ,  5.38387975E-02 , -1.88155288E-02 , -3.18499048E-01
      48 ,        1 ,  6.03955845E-01 ,  5.19755385E-02 , -3.17046080E-02 , -4.49472117E-01
      49 ,        1 ,  6.54508497E-01 ,  4.87822109E-02 , -6.27863691E-02 , -7.54205113E-01
      50 ,        1 ,  7.03368322E-01 ,  4.43876483E-02 , -1.01748730E-01 , -9.87134250E-01
      51 ,        1 ,  7.50000000E-01 ,  3.90456645E-02 , -1.43146634E-01 , -1.15113173E+00
      52 ,        1 ,  7.93892626E-01 ,  3.31007953E-02 , -3.51004366E-01 , -2.44668148E+00
      53 ,        1 ,  8.34565303E-01 ,  2.69403847E-02 , -9.62726753E-01 , -6.14449724E+00
      54 ,        1 ,  8.71572413E-01 ,  2.09427706E-02 ,  4.37261335E-01 ,  2.98835861E+00
      55 ,        1 ,  9.04508497E-01 ,  1.54317245E-02 ,  1.58295897E+00 ,  1.19302873E+01
      56 ,        1 ,  9.33012702E-01 ,  1.06455237E-02 ,  3.97482330E-01 ,  3.04015155E+00
      57 ,        1 ,  9.56772729E-01 ,  6.72551602E-03 ,  1.75556778E-01 ,  1.15517880E+00
      58 ,        1 ,  9.75528258E-01 ,  3.72457919E-03 ,  7.05032755E-01 ,  4.44492239E+00
      59 ,        1 ,  9.89073800E-01 ,  1.63147275E-03 ,  6.33225470E-01 ,  3.98611442E+00
      60 ,        1 ,  9.97260948E-01 ,  4.03713350E-04 ,  1.29571490E+00 ,  9.89874293E+00
      61 ,        1 ,  1.00000000E+00 ,  0.00000000E+00 ,  3.12814521E+00 , -3.27309737E+01
       1 ,        2 ,  1.00059721E+00 , -3.55579690E-05 ,  8.21085716E-02 , -4.87359513E+00
       2 ,        2 ,  9.97721198E-01 , -3.48307929E-03 ,  5.49076307E-01 , -2.75038978E-01
       3 ,        2 ,  9.89079486E-01 , -5.25420932E-03 ,  6.22800123E-02 ,  7.51617020E-02
       4 ,        2 ,  9.75512202E-01 , -6.62558070E-03 ,  1.43006960E-02 ,  4.23798563E-02
       5 ,        2 ,  9.56910070E-01 , -8.42044824E-03 ,  9.42673896E-03 ,  3.06998659E-02
       6 ,        2 ,  9.33323621E-01 , -1.10905263E-02 ,  6.33637725E-03 ,  1.40045395E-02
       7 ,        2 ,  9.04968564E-01 , -1.48562294E-02 ,  4.15920882E-03 ,  5.71071618E-03
       8 ,        2 ,  8.72145957E-01 , -1.97699498E-02 ,  4.44758696E-03 ,  7.77140897E-05
       9 ,        2 ,  8.35212340E-01 , -2.57233368E-02 ,  5.55891563E-03 , -5.53077054E-03
      10 ,        2 ,  7.94571504E-01 , -3.24548450E-02 ,  5.84518882E-03 , -1.34010752E-02
      11 ,        2 ,  7.50670294E-01 , -3.95814552E-02 ,  5.96113791E-03 , -9.08549320E-03
      12 ,        2 ,  7.03994085E-01 , -4.66547990E-02 ,  1.20790763E-02 ,  3.78668343E-02
      13 ,        2 ,  6.55061375E-01 , -5.32310476E-02 , -1.99605696E-03 ,  9.35578251E-02
