# EulerBlock output
# Author: Ney Rafael Secco (ney@ita.br)
# Instituto Tecnologico de Aeronautica - ITA
# Sao Jose dos Campos - Brazil
# 2022-09
# Rev: 2024-04

# Reference chord for forces
 1.00000000E+00
# Reference x-y coordinates for moments
 2.50000000E-01 0.00000000E+00
# Free-stream conditions (Mach and alpha [deg])
 8.50000000E-01 1.79018944E+00

# ilow
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
-1.06659854E-01  2.57518252E+01 -1.85140431E+02  2.57425883E+01  6.97869349E-01
# x y Cp Mach
 1.00029861E+00 -1.77789845E-05  4.76399616E-01  5.48406575E-01
 1.00186617E+00 -8.39311588E-05  4.49949470E-01  5.59383010E-01
 1.00439376E+00 -1.76142925E-04  4.18971998E-01  5.79152250E-01
 1.00740722E+00 -2.80955294E-04  3.93263610E-01  5.98643715E-01
 1.01127000E+00 -4.12918117E-04  3.74434517E-01  6.15113871E-01
 1.01578111E+00 -5.60983436E-04  3.58680461E-01  6.29395256E-01
 1.02089675E+00 -7.19979994E-04  3.43388569E-01  6.42228863E-01
 1.02668810E+00 -8.88721065E-04  3.28761924E-01  6.53934824E-01
 1.03328874E+00 -1.06753735E-03  3.13681636E-01  6.65021035E-01
 1.04086483E+00 -1.25682361E-03  2.98627108E-01  6.75513434E-01
 1.04960768E+00 -1.45654085E-03  2.83598068E-01  6.85536248E-01
 1.05973411E+00 -1.66600985E-03  2.68519604E-01  6.95201020E-01
 1.07148910E+00 -1.88376569E-03  2.53409215E-01  7.04578347E-01
 1.08514993E+00 -2.10743429E-03  2.38263813E-01  7.13728132E-01
 1.10103131E+00 -2.33362311E-03  2.23110119E-01  7.22693462E-01
 1.11949140E+00 -2.55782431E-03  2.07947540E-01  7.31498803E-01
 1.14093876E+00 -2.77433754E-03  1.92788890E-01  7.40150476E-01
 1.16583993E+00 -2.97622701E-03  1.77701929E-01  7.48641981E-01
 1.19472783E+00 -3.15533328E-03  1.62766444E-01  7.56953163E-01
 1.22821063E+00 -3.30235975E-03  1.48074777E-01  7.65058457E-01
 1.26698113E+00 -3.40704663E-03  1.33722116E-01  7.72920238E-01
 1.31182655E+00 -3.45843097E-03  1.19816523E-01  7.80496645E-01
 1.36363870E+00 -3.44517347E-03  1.06459691E-01  7.87748416E-01
 1.42342484E+00 -3.35591673E-03  9.37462882E-02  7.94636260E-01
 1.49231954E+00 -3.17963019E-03  8.17947801E-02  8.01115609E-01
 1.57159807E+00 -2.90589698E-03  7.06507256E-02  8.07163983E-01
 1.66269191E+00 -2.52510770E-03  6.04094648E-02  8.12739732E-01
 1.76720702E+00 -2.02854074E-03  5.11417974E-02  8.17812362E-01
 1.88694553E+00 -1.40832607E-03  4.28871884E-02  8.22366357E-01
 2.02393134E+00 -6.57304068E-04  3.56494462E-02  8.26401535E-01
 2.18044029E+00  2.31198066E-04  2.94120524E-02  8.29929185E-01
 2.35903526E+00  1.26364831E-03  2.40998491E-02  8.32988475E-01
 2.56260685E+00  2.44662620E-03  1.95890082E-02  8.35640634E-01
 2.79442002E+00  3.78715287E-03  1.57261558E-02  8.37936306E-01
 3.05816742E+00  5.29302099E-03  1.26786321E-02  8.39818768E-01
 3.36422232E+00  6.94649337E-03  1.03363721E-02  8.41369236E-01
 3.71988513E+00  8.76923931E-03  8.10681863E-03  8.42801509E-01
 4.12692014E+00  1.08164338E-02  6.44979716E-03  8.43947409E-01
 4.59182621E+00  1.31121556E-02  5.16077417E-03  8.44893869E-01
 5.12242341E+00  1.56831454E-02  4.13039016E-03  8.45671048E-01
 5.72772751E+00  1.85600525E-02  3.38935251E-03  8.46322127E-01
 6.41806864E+00  2.17778421E-02  2.68687501E-03  8.46857213E-01
 7.20525709E+00  2.53762756E-02  2.27159359E-03  8.47347991E-01
 8.10278109E+00  2.94004851E-02  1.70934780E-03  8.47731860E-01
 9.12603655E+00  3.39016436E-02  1.32499939E-03  8.48178586E-01
 1.02925914E+01  3.89377355E-02  6.35574099E-04  8.48703522E-01
 1.16224885E+01  4.45744387E-02 -4.71640110E-04  8.49510644E-01
 1.31385915E+01  5.08861316E-02 -2.44265149E-03  8.50807647E-01

# ihigh
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
