,$W_0$,$W_f$,$\Delta S_{wlan}$,$SM_{fwd}$,$SM_{aft}$,$C_{Lv}$,"$f_{nlg,fwd}$","$f_{nlg,aft}$",$\alpha_{tip}$,$\alpha_{tail}$,$\phi_{ovt}$,$V_{tank}$
$S_w$,0.04250697555936313,-0.1893898395317801,3.539901488578011,1.5330691178482567,5.8003218461928,-0.49315080917439175,-1.6303940765205267,-1.6579927461463795,-1.5973261778494823,0.0,-0.08431920305640411,1.4999749981247286
$AR_w$,-0.18327505887527576,-0.5232755977287656,0.5520247033205968,1.0089367664124727,2.320540624679704,-0.2847257094227597,-0.4178991443442073,-0.2996979889300215,-0.2887355311638701,0.0,-0.021612216505228984,-0.5001250393884122
$\lambda_w$,0.005511237497506916,0.005204824716844022,-0.09563725609205534,0.2272642120623366,0.49752517685542463,-0.033637346390894385,-0.053569564104295905,-0.01799831938042047,-0.017339817792062503,0.0,-0.002770428926331894,-0.17786491112544706
$\Lambda_w$,-0.21703143541625253,-0.5280707699991363,-0.35627477308027156,3.930232294581203,12.025489727341814,-0.14428025455985458,-2.0937496296943148,-1.5572792152455166,-1.5003378252916106,0.0,-0.10828001767103372,0.0
$\delta_w$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"$x_{r,w}$",0.0,0.0,0.0,4.496111040844835,19.585998628131463,0.0,-5.115314414279658,-3.087886176835697,-2.9747479735625735,0.0,-0.2645486053734259,0.0
"$z_{r,w}$",0.0,0.0,0.0,0.01625418187656085,0.03541126645104761,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"$(t/c)_{r,w}$",-0.04323492190793602,0.04525683993023113,0.10819997723584682,0.15562947956276554,0.05587418282085002,0.04322848768981964,0.11174740420040229,0.030112543361035023,0.029010813402301334,0.0,0.005779178433217797,0.9176939771872522
"$(t/c)_{t,w}$",0.15576578206503225,0.2938598024726675,-0.3898203889311442,-0.05852974043960474,0.029791754366402138,-0.15573523416344218,-0.04202639873258248,0.016055814150086684,0.01546835971766337,0.0,-0.002173462664797949,0.0823120674584628
$C_{ht}$,0.050679675166366824,0.080426366330721,-0.1268312617979804,1.170560460991953,2.4063373891795767,-0.050679730491330434,-0.09221651224911206,-0.22831086661062341,-0.2199574919932775,0.0,-0.004769117079636197,0.0
