,S_max,saida_dominante,n_saidas_relevantes,S_medio
$x_{mlg}$,21.275200712289564,$\alpha_{tip}$,7,5.083516150761539
"$x_{r,w}$",19.585998628131463,$SM_{aft}$,6,2.9603839032523047
$L_f$,16.36792655279117,$SM_{aft}$,10,3.8465918127586467
$\Lambda_w$,12.025489727341814,$SM_{aft}$,10,1.8717521619067508
$S_w$,5.8003218461928,$SM_{aft}$,9,1.505695606548511
$k_{korn}$,5.579267236596473,$\Delta S_{wlan}$,9,1.346549788997472
"$x_{cg,pay}$",5.338521141439024,$SM_{aft}$,3,0.9162105128249989
$x_n$,3.517767325216296,$SM_{aft}$,5,0.7677845364647555
$x_{ts}$,3.0518409361847185,$\alpha_{tail}$,1,0.2543200780153932
$d_{LDG}$,2.8719355021808317,$\Delta S_{wlan}$,1,0.2393279585150693
$\eta_h$,2.8229934323847754,$SM_{aft}$,2,0.34323167908457863
$M_{cr}$,2.7283113447258356,$\Delta S_{wlan}$,9,0.7202760334398302
$MLW/MTOW$,2.502606052261147,$\Delta S_{wlan}$,1,0.2085505043550956
$C_{ht}$,2.4063373891795767,$SM_{aft}$,5,0.3692307393242121
$AR_w$,2.3205406246795874,$SM_{aft}$,10,0.5334040317309289
$C_{ref}$,2.139449966230245,$\Delta S_{wlan}$,7,0.5206485261264119
$z_{lg}$,2.0525772614812854,$\alpha_{tail}$,3,0.30022410253281206
$R$,2.000220546675968,$\Delta S_{wlan}$,7,0.4867722911936992
$D_f$,1.7613453485673183,$SM_{aft}$,8,0.46340874385348635
$AR_h$,1.234925411789357,$SM_{aft}$,2,0.1519488793307193
$\Lambda_h$,1.2246867182200878,$SM_{aft}$,2,0.15107280570130552
"$c_{l,max,w}$",1.2220604158175983,$\Delta S_{wlan}$,2,0.14849652706419392
$c_{flap}/c_w$,1.2044562730000212,$\Delta S_{wlan}$,2,0.14023779086811006
$z_{ts}$,1.073114070454596,$\alpha_{tail}$,1,0.089426172537883
$C_{vt}$,1.0443470535275206,$C_{Lv}$,6,0.1858915104198716
$T_{max}$,1.0000000000000009,$C_{Lv}$,1,0.08333333333333341
$y_n$,1.0000000000000009,$C_{Lv}$,1,0.08333333333333341
$c_{tank}/c_w$,1.0000000000000004,$V_{tank}$,3,0.14893111138024182
"$(t/c)_{r,w}$",0.9176939771872522,$V_{tank}$,4,0.12881398381097045
$W_{pay}$,0.9122611610154266,$\Delta S_{wlan}$,4,0.18092687926622608
$b_{flap}/b_w$,0.7880711240368636,$\Delta S_{wlan}$,2,0.09251814546921201
$L_c/c_h$,0.7559183624943627,$SM_{aft}$,3,0.11810448977453743
$h_{cr}$,0.7544520444994262,$\Delta S_{wlan}$,4,0.18355463192216503
$y_{mlg}$,0.563154724569385,$\phi_{ovt}$,1,0.04692956038078208
$b_{tank}/b_w$,0.506845557995231,$SM_{fwd}$,3,0.09879700970808429
$\lambda_w$,0.49752517685566816,$SM_{aft}$,3,0.09452692457866448
$x_{tank}/c_w$,0.44848857545807547,$SM_{fwd}$,2,0.06559777804690844
$L_n$,0.43385992035896437,$SM_{aft}$,4,0.10711629384512124
"$(t/c)_{t,w}$",0.38982038893114435,$\Delta S_{wlan}$,4,0.10346156709682415
$c_{slat}/c_w$,0.23469406811153842,$\Delta S_{wlan}$,1,0.028505021768418338
$x_{nlg}$,0.15173897955143373,"$f_{nlg,fwd}$",2,0.0345568405254796
$D_n$,0.11180408449271613,$\Delta S_{wlan}$,1,0.02721142993239882
$L_b/b_v$,0.10997934945235789,$\Delta S_{wlan}$,1,0.02325692385160349
$b_{slat}/b_w$,0.10594083827551433,$\Delta S_{wlan}$,1,0.013027589444684684
"$z_{r,h}$",0.07558943360313448,$SM_{aft}$,0,0.009190488337317745
$\lambda_h$,0.07436653551449295,$SM_{aft}$,0,0.009374356940376147
"$z_{r,w}$",0.03541126645104761,$SM_{aft}$,0,0.004305454027300705
$AR_v$,0.005594502895159048,$SM_{aft}$,0,0.0023029121361513136
$BPR$,0.0020151120065345384,$\Delta S_{wlan}$,0,0.0004904478316710244
$\delta_w$,0.0,$W_0$,0,0.0
$d_{TO}$,0.0,$W_0$,0,0.0
